pokemon,score,type_1,type_2,attack,defense,stamina,stat_product,level,fast_move,charged_move_1,charged_move_2,damage_cm_1,energy_cm_1,dpe_cm_1,damage_cm_2,energy_cm_2,dpe_cm_2,damage_fm,turns_fm,energy_fm,cd_fm,dpt_fm,ept_fm,bulk,is_dual_type
Lilligant,67.5,grass,none,137.7,104.1,113,1619705,21.0,Charm,Petal Blizzard,Hyper Beam,110,-65,1.69,150,-80,1.88,16,2,6,1.5,5.33,2.0,11763.3,False
Donphan,67.3,ground,none,125.8,112.0,125,1762274,18.5,Counter,Earthquake,Heavy Slam,120,-65,1.85,70,-50,1.4,8,1,7,1.0,4.0,3.5,14000.0,False
Cinccino,67.2,normal,none,135.6,93.5,129,1635614,25.0,Charm,Aqua Tail,Thunderbolt,50,-35,1.43,90,-55,1.64,16,2,6,1.5,5.33,2.0,12061.5,False
Mr. Rime,67.2,ice,psychic,130.4,113.8,116,1721657,19.5,Confusion,Icy Wind,Psychic,60,-45,1.33,90,-55,1.64,16,3,12,2.0,4.0,3.0,13200.8,True
Oddish (Shadow),67.2,grass,poison,115.4,100.4,113,1308636,40.0,Razor Leaf,Seed Bomb,Sludge Bomb,55,-40,1.38,80,-50,1.6,10,1,4,1.0,5.0,2.0,11345.2,True
Furret,67.1,normal,none,116.8,103.2,159,1916537,34.5,Quick Attack,Brick Break,Hyper Beam,40,-35,1.14,150,-80,1.88,5,1,7,1.0,2.5,3.5,16408.8,False
Slowbro (Shadow),67.1,water,psychic,115.3,120.3,140,1941701,22.0,Confusion,Psychic,Ice Beam,90,-55,1.64,90,-55,1.64,16,3,12,2.0,4.0,3.0,16842.0,True
Crobat,67.0,poison,flying,123.3,115.8,127,1813204,21.5,Air Slash,Sludge Bomb,Shadow Ball,80,-50,1.6,100,-55,1.82,9,2,9,1.5,3.0,3.0,14706.6,True
Fraxure,67.0,dragon,none,144.9,89.5,118,1530783,25.0,Dragon Tail,Dragon Claw,Night Slash,50,-35,1.43,50,-35,1.43,9,2,10,1.5,3.0,3.33,10561.0,False
Gabite,67.0,dragon,ground,131.3,96.6,135,1713430,31.0,Mud Shot,Flamethrower,Twister,90,-55,1.64,45,-45,1.0,3,1,9,1.0,1.5,4.5,13041.0,True
Mismagius,67.0,ghost,none,134.4,125.1,99,1664924,21.5,Hex,Shadow Ball,Dark Pulse,100,-55,1.82,80,-50,1.6,6,2,12,1.5,2.0,4.0,12384.9,False
Sneasel (Shadow),66.9,dark,ice,134.7,110.4,110,1634896,27.0,Ice Shard,Avalanche,Foul Play,90,-45,2.0,70,-45,1.56,9,2,10,1.5,3.0,3.33,12144.0,True
Turtwig (Shadow),66.9,grass,none,105.9,98.8,127,1328625,40.0,Razor Leaf,Body Slam,Seed Bomb,60,-35,1.71,55,-40,1.38,10,1,4,1.0,5.0,2.0,12547.6,False
Weezing (Shadow),66.9,poison,none,118.5,137.4,115,1872102,24.0,Infestation,Sludge Bomb,Shadow Ball,80,-50,1.6,100,-55,1.82,6,2,12,1.5,2.0,4.0,15801.0,False
Corsola,66.8,water,rock,105.1,135.1,127,1803995,40.0,Bubble,Rock Blast,Bubble Beam,50,-40,1.25,25,-40,0.63,7,2,11,1.5,2.33,3.67,17157.7,True
Farfetch'd,66.8,normal,flying,109.9,102.7,123,1388185,40.0,Fury Cutter,Leaf Blade,Aerial Ace,70,-35,2.0,55,-45,1.22,2,0,4,0.5,2.0,4.0,12632.1,True
Misdreavus (Shadow),66.8,ghost,none,124.4,119.5,120,1783517,28.0,Hex,Dark Pulse,Ominous Wind,80,-50,1.6,45,-45,1.0,6,2,12,1.5,2.0,4.0,14340.0,False
Persian (Alolan),66.8,dark,none,123.7,110.8,132,1807902,34.5,Feint Attack,Foul Play,Dark Pulse,70,-45,1.56,80,-50,1.6,6,1,6,1.0,3.0,3.0,14625.6,False
Rhydon,66.7,ground,rock,127.4,99.5,138,1749018,17.5,Mud Slap,Stone Edge,Surf,100,-55,1.82,65,-40,1.63,11,2,8,1.5,3.67,2.67,13731.0,True
Slowking (Shadow),66.7,water,psychic,115.3,120.3,140,1941701,22.0,Confusion,Psychic,Blizzard,90,-55,1.64,140,-75,1.87,16,3,12,2.0,4.0,3.0,16842.0,True
Walrein (Shadow),66.7,ice,water,114.1,112.9,152,1958255,20.0,Waterfall,Blizzard,Earthquake,140,-75,1.87,120,-65,1.85,12,2,8,1.5,4.0,2.67,17160.8,True
Yanmega,66.7,bug,flying,136.2,98.3,121,1618879,18.5,Wing Attack,Aerial Ace,Bug Buzz,55,-45,1.22,90,-60,1.5,5,1,7,1.0,2.5,3.5,11894.3,True
Maractus,66.6,grass,none,137.6,92.2,128,1623392,25.0,Bullet Seed,Aerial Ace,Petal Blizzard,55,-45,1.22,110,-65,1.69,5,2,13,1.5,1.67,4.33,11801.6,False
Rhyperior,66.6,ground,rock,127.2,102.8,134,1751147,14.5,Mud Slap,Rock Wrecker,Surf,110,-50,2.2,65,-40,1.63,11,2,8,1.5,3.67,2.67,13775.199999999999,True
Sandslash,66.6,ground,none,121.1,120.4,125,1822952,23.0,Mud Shot,Earthquake,Bulldoze,120,-65,1.85,80,-60,1.33,3,1,9,1.0,1.5,4.5,15050.0,False
Scraggy,66.6,dark,fighting,116.2,116.2,120,1619571,40.0,Feint Attack,Foul Play,Brick Break,70,-45,1.56,40,-35,1.14,6,1,6,1.0,3.0,3.0,13944.0,True
Tyranitar,66.6,rock,dark,131.8,108.9,119,1706817,14.5,Smack Down,Crunch,Stone Edge,70,-45,1.56,100,-55,1.82,12,2,8,1.5,4.0,2.67,12959.1,True
Sharpedo,66.5,water,dark,167.9,64.1,123,1324956,24.5,Waterfall,Crunch,Poison Fang,70,-45,1.56,40,-35,1.14,12,2,8,1.5,4.0,2.67,7884.299999999999,True
Dusknoir,66.4,ghost,none,120.4,170.4,90,1847258,23.0,Hex,Dark Pulse,Psychic,80,-50,1.6,90,-55,1.64,6,2,12,1.5,2.0,4.0,15336.0,False
Tranquill,66.4,normal,flying,125.7,96.4,136,1647706,40.0,Air Slash,Sky Attack,Aerial Ace,75,-45,1.67,55,-45,1.22,9,2,9,1.5,3.0,3.0,13110.400000000001,True
Golem,66.2,rock,ground,126.4,120.7,116,1769231,18.5,Mud Shot,Stone Edge,Earthquake,100,-55,1.82,120,-65,1.85,3,1,9,1.0,1.5,4.5,14001.2,True
Nidorino,66.2,poison,none,120.1,99.6,135,1614849,40.0,Poison Jab,Sludge Bomb,Horn Attack,80,-50,1.6,40,-35,1.14,6,1,7,1.0,3.0,3.5,13446.0,False
Metagross,66.1,steel,psychic,135.0,120.5,102,1658346,14.0,Bullet Punch,Meteor Mash,Psychic,100,-50,2.0,90,-55,1.64,6,1,7,1.0,3.0,3.5,12291.0,True
Metang,66.1,steel,psychic,110.6,145.4,126,2025037,37.0,Metal Claw,Psyshock,Gyro Ball,70,-45,1.56,80,-60,1.33,5,1,6,1.0,2.5,3.0,18320.4,True
Poliwhirl (Shadow),66.1,water,none,114.6,109.1,140,1749682,40.0,Bubble,Mud Bomb,Scald,55,-40,1.38,80,-60,1.33,7,2,11,1.5,2.33,3.67,15274.0,False
Gothorita,65.9,psychic,none,115.2,129.9,129,1930429,37.0,Confusion,Psychic,Future Sight,90,-55,1.64,120,-65,1.85,16,3,12,2.0,4.0,3.0,16757.100000000002,False
Growlithe (Shadow),65.8,fire,none,119.3,85.4,127,1293565,40.0,Ember,Body Slam,Flamethrower,60,-35,1.71,90,-55,1.64,7,1,6,1.0,3.5,3.0,10845.800000000001,False
Machop,65.8,fighting,none,120.1,76.7,147,1353682,40.0,Karate Chop,Cross Chop,Return,50,-35,1.43,130,-70,1.86,5,1,8,1.0,2.5,4.0,11274.9,False
Lampent,65.7,ghost,fire,134.5,98.2,126,1665007,34.0,Ember,Energy Ball,Flame Burst,90,-55,1.64,70,-55,1.27,7,1,6,1.0,3.5,3.0,12373.2,True
Machop (Shadow),65.6,fighting,none,120.1,76.7,147,1353682,40.0,Karate Chop,Cross Chop,Brick Break,50,-35,1.43,40,-35,1.14,5,1,8,1.0,2.5,4.0,11274.9,False
Stoutland,65.6,normal,none,126.2,115.0,122,1771525,19.5,Lick,Wild Charge,Crunch,100,-45,2.22,70,-45,1.56,3,0,3,0.5,3.0,3.0,14030.0,False
Togetic,65.6,fairy,flying,111.8,148.2,121,2004368,37.5,Hidden Power (Flying),Aerial Ace,Ancient Power,55,-45,1.22,45,-45,1.0,9,2,8,1.5,3.0,2.67,17932.199999999997,True
Wartortle (Shadow),65.5,water,none,111.4,134.4,132,1976177,40.0,Water Gun,Ice Beam,Hydro Pump,90,-55,1.64,130,-75,1.73,3,0,3,0.5,3.0,3.0,17740.8,False
Archen,65.4,rock,flying,162.1,73.6,116,1385000,32.0,Wing Attack,Dragon Claw,Crunch,50,-35,1.43,70,-45,1.56,5,1,7,1.0,2.5,3.5,8537.599999999999,True
Dugtrio (Alolan),65.4,ground,steel,150.2,109.6,90,1481000,29.5,Mud Slap,Mud Bomb,Iron Head,55,-40,1.38,70,-50,1.4,11,2,8,1.5,3.67,2.67,9864.0,True
Dusknoir (Shadow),65.4,ghost,none,120.4,170.4,90,1847258,23.0,Hex,Dark Pulse,Psychic,80,-50,1.6,90,-55,1.64,6,2,12,1.5,2.0,4.0,15336.0,False
Wobbuffet (Shadow),65.4,psychic,none,59.3,95.6,313,1774087,40.0,Counter,Mirror Coat,Frustration,60,-55,1.09,10,-70,0.14,8,1,7,1.0,4.0,3.5,29922.8,False
Boldore,65.3,rock,none,126.5,109.6,127,1760699,28.0,Smack Down,Rock Slide,Bulldoze,75,-45,1.67,80,-60,1.33,12,2,8,1.5,4.0,2.67,13919.199999999999,False
Lileep,65.3,rock,grass,94.8,130.4,142,1756053,40.0,Bullet Seed,Grass Knot,Ancient Power,90,-50,1.8,45,-45,1.0,5,2,13,1.5,1.67,4.33,18516.8,True
Meowstic (Female),65.3,psychic,none,117.8,124.0,129,1884568,26.0,Confusion,Psychic,Shadow Ball,90,-55,1.64,100,-55,1.82,16,3,12,2.0,4.0,3.0,15996.0,False
Nidoking,65.3,poison,ground,130.7,105.9,123,1702675,21.5,Fury Cutter,Earth Power,Megahorn,90,-55,1.64,100,-55,1.82,2,0,4,0.5,2.0,4.0,13025.7,True
Nuzleaf (Shadow),65.3,grass,dark,117.8,73.5,147,1272244,40.0,Feint Attack,Leaf Blade,Foul Play,70,-35,2.0,70,-45,1.56,6,1,6,1.0,3.0,3.0,10804.5,True
Rhyhorn,65.3,ground,rock,114.1,108.6,158,1958387,37.5,Mud Slap,Stomp,Horn Attack,55,-40,1.38,40,-35,1.14,11,2,8,1.5,3.67,2.67,17158.8,True
Vanillish,65.3,ice,none,126.5,118.7,117,1757361,37.5,Frost Breath,Icy Wind,Signal Beam,60,-45,1.33,75,-55,1.36,7,1,5,1.0,3.5,2.5,13887.9,False
Archeops,65.1,rock,flying,162.8,80.3,105,1372743,16.5,Wing Attack,Dragon Claw,Crunch,50,-35,1.43,70,-45,1.56,5,1,7,1.0,2.5,3.5,8431.5,True
Unfezant,65.1,normal,flying,138.0,96.2,120,1592757,20.0,Air Slash,Sky Attack,Hyper Beam,75,-45,1.67,150,-80,1.88,9,2,9,1.5,3.0,3.0,11544.0,True
Metagross (Shadow),65.0,steel,psychic,135.0,120.5,102,1658346,14.0,Bullet Punch,Meteor Mash,Psychic,100,-50,2.0,90,-55,1.64,6,1,7,1.0,3.0,3.5,12291.0,True
Armaldo,64.7,rock,bug,135.7,108.9,112,1654542,19.0,Fury Cutter,Rock Blast,Cross Poison,50,-40,1.25,40,-35,1.14,2,0,4,0.5,2.0,4.0,12196.800000000001,True
Meowstic (Male),64.7,psychic,none,117.8,124.0,129,1884568,26.0,Confusion,Psychic,Thunderbolt,90,-55,1.64,90,-55,1.64,16,3,12,2.0,4.0,3.0,15996.0,False
Misdreavus,64.7,ghost,none,124.4,119.5,120,1783517,28.0,Hex,Dark Pulse,Ominous Wind,80,-50,1.6,45,-45,1.0,6,2,12,1.5,2.0,4.0,14340.0,False
Growlithe,64.6,fire,none,119.3,85.4,127,1293565,40.0,Ember,Body Slam,Flamethrower,60,-35,1.71,90,-55,1.64,7,1,6,1.0,3.5,3.0,10845.800000000001,False
Rayquaza,64.6,dragon,flying,147.5,93.1,110,1510665,14.5,Dragon Tail,Outrage,Aerial Ace,110,-60,1.83,55,-45,1.22,9,2,10,1.5,3.0,3.33,10241.0,True
Aerodactyl,64.5,rock,flying,135.0,103.9,117,1642003,20.0,Rock Throw,Rock Slide,Earth Power,75,-45,1.67,90,-55,1.64,8,1,5,1.0,4.0,2.5,12156.300000000001,True
Blissey,64.5,normal,none,82.4,109.9,301,2727683,20.0,Pound,Psychic,Hyper Beam,90,-55,1.64,150,-80,1.88,5,1,4,1.0,2.5,2.0,33079.9,False
Metang (Shadow),64.5,steel,psychic,110.6,145.4,126,2025037,37.0,Metal Claw,Psyshock,Gyro Ball,70,-45,1.56,80,-60,1.33,5,1,6,1.0,2.5,3.0,18320.4,True
Walrein,64.5,ice,water,114.1,112.9,152,1958255,20.0,Waterfall,Blizzard,Earthquake,140,-75,1.87,120,-65,1.85,12,2,8,1.5,4.0,2.67,17160.8,True
Chinchou,64.4,water,electric,95.6,88.5,154,1303491,40.0,Spark,Thunderbolt,Bubble Beam,90,-55,1.64,25,-40,0.63,4,1,8,1.0,2.0,4.0,13629.0,True
Crobat (Shadow),64.3,poison,flying,123.3,115.8,127,1813204,21.5,Air Slash,Sludge Bomb,Shadow Ball,80,-50,1.6,100,-55,1.82,9,2,9,1.5,3.0,3.0,14706.6,True
Mr. Mime (Galarian),64.3,ice,psychic,130.5,123.6,105,1693035,27.0,Confusion,Ice Punch,Psychic,55,-40,1.38,90,-55,1.64,16,3,12,2.0,4.0,3.0,12978.0,True
Nuzleaf,64.3,grass,dark,117.8,73.5,147,1272244,40.0,Feint Attack,Leaf Blade,Foul Play,70,-35,2.0,70,-45,1.56,6,1,6,1.0,3.0,3.0,10804.5,True
Omanyte,64.3,rock,water,132.8,131.2,97,1689558,40.0,Mud Shot,Rock Blast,Brine,50,-40,1.25,60,-50,1.2,3,1,9,1.0,1.5,4.5,12726.4,True
Swoobat,64.2,psychic,flying,128.4,100.9,135,1749670,35.5,Confusion,Aerial Ace,Psychic,55,-45,1.22,90,-55,1.64,16,3,12,2.0,4.0,3.0,13621.5,True
Mismagius (Shadow),63.9,ghost,none,134.4,125.1,99,1664924,21.5,Hex,Shadow Ball,Dark Pulse,100,-55,1.82,80,-50,1.6,6,2,12,1.5,2.0,4.0,12384.9,False
Geodude (Alolan),63.8,rock,electric,116.2,116.2,106,1430621,40.0,Volt Switch,Rock Slide,Thunderbolt,75,-45,1.67,90,-55,1.64,12,3,16,2.0,3.0,4.0,12317.2,True
Lileep (Shadow),63.7,rock,grass,94.8,130.4,142,1756053,40.0,Infestation,Grass Knot,Ancient Power,90,-50,1.8,45,-45,1.0,6,2,12,1.5,2.0,4.0,18516.8,True
Persian,63.5,normal,none,121.2,112.6,136,1855297,38.5,Feint Attack,Night Slash,Return,50,-35,1.43,130,-70,1.86,6,1,6,1.0,3.0,3.0,15313.599999999999,False
Samurott,63.5,water,none,128.0,99.7,135,1722738,19.5,Fury Cutter,Megahorn,Hydro Pump,100,-55,1.82,130,-75,1.73,2,0,4,0.5,2.0,4.0,13459.5,False
Camerupt,63.4,fire,ground,134.9,97.8,125,1649595,25.5,Ember,Overheat,Earth Power,130,-55,2.36,90,-55,1.64,7,1,6,1.0,3.5,3.0,12225.0,True
Liepard,63.4,dark,none,141.9,88.5,125,1570953,30.0,Snarl,Dark Pulse,Play Rough,80,-50,1.6,90,-60,1.5,5,2,13,1.5,1.67,4.33,11062.5,False
Nidoking (Shadow),63.4,poison,ground,130.7,105.9,123,1702675,21.5,Fury Cutter,Earth Power,Megahorn,90,-55,1.64,100,-55,1.82,2,0,4,0.5,2.0,4.0,13025.7,True
Persian (Shadow),63.4,normal,none,121.2,112.6,136,1855297,38.5,Feint Attack,Night Slash,Play Rough,50,-35,1.43,90,-60,1.5,6,1,6,1.0,3.0,3.0,15313.599999999999,False
Porygon,63.4,normal,none,120.6,114.6,133,1837749,34.5,Quick Attack,Discharge,Hyper Beam,65,-45,1.44,150,-80,1.88,5,1,7,1.0,2.5,3.5,15241.8,False
Miltank,63.3,normal,none,106.0,136.1,145,2092571,24.0,Tackle,Body Slam,Ice Beam,60,-35,1.71,90,-55,1.64,3,0,2,0.5,3.0,2.0,19734.5,False
Turtwig,63.2,grass,none,105.9,98.8,127,1328625,40.0,Razor Leaf,Body Slam,Seed Bomb,60,-35,1.71,55,-40,1.38,10,1,4,1.0,5.0,2.0,12547.6,False
Arbok,63.0,poison,none,125.9,120.9,117,1780217,29.0,Dragon Tail,Dark Pulse,Sludge Wave,80,-50,1.6,110,-65,1.69,9,2,10,1.5,3.0,3.33,14145.300000000001,False
Nidorina (Shadow),62.9,poison,none,104.3,106.7,147,1636097,40.0,Poison Sting,Poison Fang,Sludge Bomb,40,-35,1.14,80,-50,1.6,3,1,8,1.0,1.5,4.0,15684.9,False
Mantyke,62.7,water,flying,94.8,153.3,113,1643030,40.0,Bubble,Aerial Ace,Ice Beam,55,-45,1.22,90,-55,1.64,7,2,11,1.5,2.33,3.67,17322.9,True
Magby,62.6,fire,none,131.2,90.1,113,1335597,40.0,Karate Chop,Fire Punch,Brick Break,55,-40,1.38,40,-35,1.14,5,1,8,1.0,2.5,4.0,10181.3,False
Nidorina,62.6,poison,none,104.3,106.7,147,1636097,40.0,Poison Sting,Poison Fang,Sludge Bomb,40,-35,1.14,80,-50,1.6,3,1,8,1.0,1.5,4.0,15684.9,False
Oddish,62.6,grass,poison,115.4,100.4,113,1308636,40.0,Razor Leaf,Seed Bomb,Sludge Bomb,55,-40,1.38,80,-50,1.6,10,1,4,1.0,5.0,2.0,11345.2,True
Grumpig,62.5,psychic,none,114.0,130.8,130,1938186,23.5,Extrasensory,Psychic,Shadow Ball,90,-55,1.64,100,-55,1.82,8,2,10,1.5,2.67,3.33,17004.0,False
Yanma,62.5,bug,flying,133.6,86.1,140,1610739,40.0,Wing Attack,Aerial Ace,Silver Wind,55,-45,1.22,45,-45,1.0,5,1,7,1.0,2.5,3.5,12054.0,True
Darumaka (Galarian),62.3,ice,none,132.8,79.8,147,1557873,40.0,Ice Fang,Ice Punch,Ice Beam,55,-40,1.38,90,-55,1.64,8,1,5,1.0,4.0,2.5,11730.6,False
Dodrio,62.3,normal,flying,145.4,99.3,106,1530767,23.0,Feint Attack,Brave Bird,Drill Peck,130,-55,2.36,65,-40,1.63,6,1,6,1.0,3.0,3.0,10525.8,True
Mothim,62.1,bug,flying,142.1,84.0,132,1576107,32.0,Bug Bite,Aerial Ace,Bug Buzz,55,-45,1.22,90,-60,1.5,3,0,3,0.5,3.0,3.0,11088.0,True
Dugtrio (Shadow),62.0,ground,none,139.7,117.2,97,1587879,37.5,Sucker Punch,Mud Bomb,Stone Edge,55,-40,1.38,100,-55,1.82,5,1,7,1.0,2.5,3.5,11368.4,False
Exploud,62.0,normal,none,121.1,95.8,159,1845392,23.5,Bite,Crunch,Disarming Voice,70,-45,1.56,70,-45,1.56,4,0,2,0.5,4.0,2.0,15232.199999999999,False
Sawk,62.0,fighting,none,141.0,99.8,112,1575350,20.0,Poison Jab,Body Slam,Low Sweep,60,-35,1.71,40,-40,1.0,6,1,7,1.0,3.0,3.5,11177.6,False
Xatu,62.0,psychic,flying,134.9,104.6,118,1664612,25.5,Air Slash,Aerial Ace,Future Sight,55,-45,1.22,120,-65,1.85,9,2,9,1.5,3.0,3.0,12342.8,True
Darmanitan (Galarian),61.9,ice,none,150.9,71.5,136,1467821,17.5,Ice Fang,Avalanche,Superpower,90,-45,2.0,85,-40,2.13,8,1,5,1.0,4.0,2.5,9724.0,False
Mr. Mime,61.9,psychic,fairy,132.9,140.3,90,1677961,25.0,Confusion,Psychic,Shadow Ball,90,-55,1.64,100,-55,1.82,16,3,12,2.0,4.0,3.0,12627.000000000002,True
Slowpoke,61.8,water,psychic,98.0,89.3,175,1531518,40.0,Confusion,Psyshock,Water Pulse,70,-45,1.56,70,-60,1.17,16,3,12,2.0,4.0,3.0,15627.5,True
Lunatone,61.6,rock,psychic,119.8,108.6,142,1847487,24.0,Confusion,Rock Slide,Psychic,75,-45,1.67,90,-55,1.64,16,3,12,2.0,4.0,3.0,15421.199999999999,True
Solrock,61.6,rock,psychic,119.8,108.6,142,1847487,24.0,Confusion,Rock Slide,Psychic,75,-45,1.67,90,-55,1.64,16,3,12,2.0,4.0,3.0,15421.199999999999,True
Floatzel,61.5,water,none,145.4,80.7,131,1537848,23.0,Waterfall,Hydro Pump,Aqua Jet,130,-75,1.73,45,-45,1.0,12,2,8,1.5,4.0,2.67,10571.7,False
Sandslash (Shadow),61.4,ground,none,121.1,120.4,125,1822952,23.0,Mud Shot,Earthquake,Bulldoze,120,-65,1.85,80,-60,1.33,3,1,9,1.0,1.5,4.5,15050.0,False
Arbok (Shadow),61.3,poison,none,125.9,120.9,117,1780217,29.0,Dragon Tail,Dark Pulse,Sludge Wave,80,-50,1.6,110,-65,1.69,9,2,10,1.5,3.0,3.33,14145.300000000001,False
Porygon-Z,61.3,normal,none,149.2,87.4,115,1499247,16.5,Lock On,Tri Attack,Zap Cannon,65,-50,1.3,150,-80,1.88,1,0,5,0.5,1.0,5.0,10051.0,False
Smoochum,61.3,ice,psychic,132.8,83.8,113,1256833,40.0,Powder Snow,Ice Punch,Psyshock,55,-40,1.38,70,-45,1.56,5,1,8,1.0,2.5,4.0,9469.4,True
Swanna,61.2,water,flying,130.0,99.0,133,1711807,26.5,Air Slash,Hurricane,Ice Beam,110,-65,1.69,90,-55,1.64,9,2,9,1.5,3.0,3.0,13167.0,True
Snover,61.0,grass,ice,102.7,94.8,134,1305610,40.0,Powder Snow,Ice Beam,Energy Ball,90,-55,1.64,90,-55,1.64,5,1,8,1.0,2.5,4.0,12703.199999999999,True
Dwebble,60.9,bug,rock,105.1,113.0,120,1425453,40.0,Smack Down,X-Scissor,Rock Blast,45,-35,1.29,50,-40,1.25,12,2,8,1.5,4.0,2.67,13560.0,True
Dustox,60.8,bug,poison,89.3,139.9,134,1673942,40.0,Confusion,Sludge Bomb,Bug Buzz,80,-50,1.6,90,-60,1.5,16,3,12,2.0,4.0,3.0,18746.600000000002,True
Noivern,60.8,flying,dragon,126.1,113.5,123,1759834,20.0,Air Slash,Hurricane,Psychic,110,-65,1.69,90,-55,1.64,9,2,9,1.5,3.0,3.0,13960.5,True
Porygon-Z (Shadow),60.8,normal,none,149.2,87.4,115,1499247,16.5,Lock On,Tri Attack,Zap Cannon,65,-50,1.3,150,-80,1.88,1,0,5,0.5,1.0,5.0,10051.0,False
Lombre,60.7,water,grass,100.4,105.9,134,1424286,40.0,Bubble,Grass Knot,Ice Beam,90,-50,1.8,90,-55,1.64,7,2,11,1.5,2.33,3.67,14190.6,True
Staravia,60.7,normal,flying,124.1,86.1,127,1357419,40.0,Wing Attack,Brave Bird,Aerial Ace,130,-55,2.36,55,-45,1.22,5,1,7,1.0,2.5,3.5,10934.699999999999,True
Fearow,60.6,normal,flying,134.1,100.6,124,1671798,28.5,Peck,Sky Attack,Drill Run,75,-45,1.67,80,-45,1.78,6,1,5,1.0,3.0,2.5,12474.4,True
Girafarig,60.6,normal,psychic,132.6,100.7,127,1694743,27.0,Confusion,Psychic,Thunderbolt,90,-55,1.64,90,-55,1.64,16,3,12,2.0,4.0,3.0,12788.9,True
Absol,60.4,dark,none,158.6,82.4,108,1410794,21.5,Snarl,Dark Pulse,Megahorn,80,-50,1.6,100,-55,1.82,5,2,13,1.5,1.67,4.33,8899.2,False
Sawsbuck,60.4,normal,grass,131.3,101.9,127,1699027,23.0,Feint Attack,Wild Charge,Megahorn,100,-45,2.22,100,-55,1.82,6,1,6,1.0,3.0,3.0,12941.300000000001,True
Clamperl,60.3,water,none,117.0,118.5,99,1372689,40.0,Water Gun,Body Slam,Ice Beam,60,-35,1.71,90,-55,1.64,3,0,3,0.5,3.0,3.0,11731.5,False
Rampardos,60.3,rock,none,166.0,66.2,123,1352083,16.5,Smack Down,Rock Slide,Flamethrower,75,-45,1.67,90,-55,1.64,12,2,8,1.5,4.0,2.67,8142.6,False
Sigilyph,60.1,psychic,flying,131.6,108.4,119,1697257,22.0,Air Slash,Signal Beam,Ancient Power,75,-55,1.36,45,-45,1.0,9,2,9,1.5,3.0,3.0,12899.6,True
Slowpoke (Shadow),59.9,water,psychic,98.0,89.3,175,1531518,40.0,Confusion,Psyshock,Water Pulse,70,-45,1.56,70,-60,1.17,16,3,12,2.0,4.0,3.0,15627.5,True
Beheeyem,59.7,psychic,none,136.2,103.4,116,1632937,20.0,Confusion,Rock Slide,Psychic,75,-45,1.67,90,-55,1.64,16,3,12,2.0,4.0,3.0,11994.400000000001,False
Golett,59.6,ground,ghost,112.2,84.6,132,1252651,40.0,Mud Slap,Shadow Punch,Brick Break,40,-35,1.14,40,-35,1.14,11,2,8,1.5,3.67,2.67,11167.199999999999,True
Klefki,59.5,steel,fairy,119.4,139.6,112,1866670,29.0,Astonish,Foul Play,Play Rough,70,-45,1.56,90,-60,1.5,5,2,9,1.5,1.67,3.0,15635.199999999999,True
Roselia,59.5,grass,poison,140.0,105.9,107,1587301,29.5,Poison Jab,Sludge Bomb,Petal Blizzard,80,-50,1.6,110,-65,1.69,6,1,7,1.0,3.0,3.5,11331.300000000001,True
Jynx,59.2,ice,psychic,141.2,102.2,108,1558801,21.5,Confusion,Avalanche,Ice Punch,90,-45,2.0,55,-40,1.38,16,3,12,2.0,4.0,3.0,11037.6,True
Spinda,59.1,normal,none,103.5,103.5,134,1436254,40.0,Psycho Cut,Icy Wind,Rock Tomb,60,-45,1.33,70,-60,1.17,3,1,9,1.0,1.5,4.5,13869.0,False
Ambipom,59.0,normal,none,135.0,98.2,124,1643731,22.5,Scratch,Aerial Ace,Low Sweep,55,-45,1.22,40,-40,1.0,4,0,2,0.5,4.0,2.0,12176.800000000001,False
Illumise,59.0,bug,none,113.1,133.0,132,1986662,35.5,Struggle Bug,Bug Buzz,Silver Wind,90,-60,1.5,45,-45,1.0,9,2,8,1.5,3.0,2.67,17556.0,False
Musharna,58.9,psychic,none,113.7,107.1,160,1947640,20.5,Charge Beam,Psyshock,Dazzling Gleam,70,-45,1.56,110,-70,1.57,5,2,11,1.5,1.67,3.67,17136.0,False
Volbeat,58.8,bug,none,113.1,133.0,132,1986662,35.5,Struggle Bug,Signal Beam,Thunderbolt,75,-55,1.36,90,-55,1.64,9,2,8,1.5,3.0,2.67,17556.0,False
Pupitar (Shadow),58.7,rock,ground,120.4,109.9,139,1839776,33.5,Bite,Crunch,Ancient Power,70,-45,1.56,45,-45,1.0,4,0,2,0.5,4.0,2.0,15276.1,True
Teddiursa (Shadow),58.5,normal,none,124.1,85.4,134,1419097,40.0,Lick,Cross Chop,Crunch,50,-35,1.43,70,-45,1.56,3,0,3,0.5,3.0,3.0,11443.6,False
Beautifly,58.4,bug,flying,147.3,83.3,124,1521265,32.0,Infestation,Bug Buzz,Silver Wind,90,-60,1.5,45,-45,1.0,6,2,12,1.5,2.0,4.0,10329.199999999999,True
Krokorok,58.2,ground,dark,134.4,83.0,134,1493919,40.0,Mud Slap,Crunch,Earthquake,70,-45,1.56,120,-65,1.85,11,2,8,1.5,3.67,2.67,11122.0,True
Octillery,58.2,water,none,134.2,98.8,126,1670457,24.0,Water Gun,Octazooka,Aurora Beam,50,-50,1.0,80,-60,1.33,3,0,3,0.5,3.0,3.0,12448.8,False
